seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k141_38593	6671	No terminal repeats	NA	9	11	0.9835	NA	5	12.0774	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_47181	6102	No terminal repeats	NA	8	11	0.9833	NA	6	13.1605	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_46806	3984	No terminal repeats	NA	6	11	0.9833	NA	2	10.0967	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_34991	3198	No terminal repeats	NA	5	11	0.9832	NA	0	7.4131	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_9175	4786	No terminal repeats	NA	8	11	0.9831	NA	5	13.0782	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_23283	9291	No terminal repeats	NA	9	11	0.9830	NA	2	14.6475	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_17241	6034	No terminal repeats	NA	8	11	0.9828	NA	2	12.0280	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_41457	31573	No terminal repeats	NA	42	11	0.9828	NA	14	60.6040	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_10674	7696	No terminal repeats	NA	19	11	0.9827	NA	0	19.8500	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_61991	6766	No terminal repeats	NA	17	11	0.9826	NA	1	22.2311	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_55198	26812	No terminal repeats	NA	31	11	0.9825	NA	13	39.8766	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_212	6131	No terminal repeats	NA	3	11	0.9824	NA	2	4.5712	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_41655	29909	No terminal repeats	NA	43	11	0.9823	NA	13	56.3192	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_17623	12085	No terminal repeats	NA	17	11	0.9823	NA	7	19.9388	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_4950	5308	No terminal repeats	NA	13	11	0.9822	NA	2	16.7486	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_76559	4118	No terminal repeats	NA	5	11	0.9822	NA	0	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_3763	6003	No terminal repeats	NA	7	11	0.9822	NA	0	9.8990	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_65579	32499	DTR	NA	51	11	0.9822	NA	14	59.0905	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_579	4022	No terminal repeats	NA	6	11	0.9822	NA	5	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_35145	19276	No terminal repeats	NA	19	11	0.9821	NA	1	16.1392	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_62589	3975	No terminal repeats	NA	7	11	0.9821	NA	3	9.4060	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_5313	5735	No terminal repeats	NA	8	11	0.9820	NA	3	7.5157	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_13069	3083	No terminal repeats	NA	6	11	0.9820	NA	0	8.0213	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_74539	4575	No terminal repeats	NA	8	11	0.9820	NA	2	9.6806	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_77482	10153	No terminal repeats	NA	13	11	0.9819	NA	7	18.1033	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_27183	6321	No terminal repeats	NA	10	11	0.9816	NA	4	16.4683	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_82511	3001	No terminal repeats	NA	7	11	0.9816	NA	0	8.7929	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_17666	31047	No terminal repeats	NA	50	11	0.9815	NA	15	60.4880	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_77065	7548	No terminal repeats	NA	13	11	0.9814	NA	2	16.3359	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
