Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
bin.1	4.33	0.0	Neural Network (Specific Model)	11	0.877	7829	292.4805825242718	205322	0.35	206	33	17550	None
bin.10	13.74	0.0	Neural Network (Specific Model)	11	0.867	14751	290.8406779661017	296715	0.52	295	27	31696	None
bin.11	33.16	0.58	Neural Network (Specific Model)	11	0.891	11043	313.0730452674897	1022698	0.5	972	123	34584	None
bin.12	23.8	0.01	Neural Network (Specific Model)	11	0.881	12111	324.74708171206225	567689	0.42	514	62	49670	None
bin.13	72.68	2.07	Gradient Boost (General Model)	11	0.877	13942	290.46598390636433	1355735	0.53	1367	131	37876	None
bin.14	41.37	2.37	Neural Network (Specific Model)	11	0.908	10993	270.9274836838289	1230929	0.3	1379	140	40909	None
bin.15	28.37	0.97	Neural Network (Specific Model)	11	0.876	4159	260.9470802919708	977161	0.38	1096	240	13432	None
bin.16	84.5	0.0	Neural Network (Specific Model)	11	0.908	57519	291.03498542274053	1317192	0.31	1372	42	123021	None
bin.17	68.05	2.74	Neural Network (Specific Model)	11	0.901	9988	306.4578260869565	2341708	0.44	2300	306	38018	None
bin.18	15.43	0.0	Neural Network (Specific Model)	11	0.894	49055	307.9283276450512	302479	0.3	293	12	103054	None
bin.19	29.8	0.81	Neural Network (Specific Model)	11	0.897	6590	297.1276073619632	808411	0.49	815	138	17583	None
bin.2	18.59	0.02	Neural Network (Specific Model)	11	0.906	3853	266.62953995157386	363992	0.45	413	96	9550	None
bin.20	71.8	2.61	Gradient Boost (General Model)	11	0.907	7249	264.85083951581413	2237751	0.3	2561	353	28021	None
bin.21	57.13	1.29	Gradient Boost (General Model)	11	0.906	7126	285.11018237082067	1240343	0.62	1316	208	23732	None
bin.22	97.33	1.86	Gradient Boost (General Model)	11	0.858	32658	303.01189591078065	1422489	0.27	1345	76	80841	None
bin.23	8.66	0.0	Neural Network (Specific Model)	11	0.87	11735	319.7569230769231	357595	0.46	325	33	39195	None
bin.24	9.16	0.0	Neural Network (Specific Model)	11	0.923	3161	268.72830188679245	230788	0.62	265	69	7116	None
bin.25	79.27	2.57	Gradient Boost (General Model)	11	0.92	9084	306.94014313597916	1534445	0.54	1537	204	24120	None
bin.26	70.62	1.83	Neural Network (Specific Model)	11	0.921	5837	282.29695290858723	1655187	0.34	1805	312	20345	None
bin.27	34.98	0.99	Neural Network (Specific Model)	11	0.906	11725	286.87869062901154	1476433	0.3	1558	162	46629	None
bin.28	14.97	0.01	Neural Network (Specific Model)	11	0.896	7570	298.63357664233575	683951	0.41	685	106	34814	None
bin.29	6.93	0.0	Neural Network (Specific Model)	11	0.864	4084	236.53787878787878	324040	0.36	396	74	13086	None
bin.3	81.77	2.76	Gradient Boost (General Model)	11	0.899	16246	310.480657127716	1951490	0.52	1887	166	47178	None
bin.30	29.74	0.4	Neural Network (Specific Model)	11	0.88	9457	289.4020737327189	855019	0.54	868	110	35766	None
bin.31	48.42	5.21	Neural Network (Specific Model)	11	0.905	5220	293.3541899441341	1737258	0.41	1790	353	19807	None
bin.32	64.47	0.98	Neural Network (Specific Model)	11	0.888	7210	312.899375975039	2705365	0.41	2564	433	34222	None
bin.4	6.86	0.0	Neural Network (Specific Model)	11	0.877	27088	195.2865671641791	222970	0.32	335	11	66188	None
bin.5	46.53	0.7	Neural Network (Specific Model)	11	0.901	9349	293.2075279755849	958399	0.54	983	131	35126	None
bin.6	9.94	0.0	Neural Network (Specific Model)	11	0.927	3372	277.6034482758621	259843	0.64	290	71	10611	None
bin.7	11.68	0.0	Neural Network (Specific Model)	11	0.864	4900	294.6268656716418	342412	0.57	335	77	11756	None
bin.8	57.08	1.38	Neural Network (Specific Model)	11	0.895	25752	299.9091688089117	1171294	0.4	1167	64	122516	None
bin.9	64.91	0.41	Neural Network (Specific Model)	11	0.873	7254	323.8888888888889	1629449	0.63	1467	261	22261	None
