Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
bin.1	10.47	0.08	Neural Network (Specific Model)	11	0.854	47812	294.97727272727275	273123	0.51	264	8	76201	None
bin.10	53.42	0.1	Gradient Boost (General Model)	11	0.893	4866	267.91803278688525	1041036	0.47	1159	218	14079	None
bin.11	7.83	0.0	Neural Network (Specific Model)	11	0.867	6383	242.0203488372093	287334	0.41	344	54	16919	None
bin.12	8.38	0.0	Neural Network (Specific Model)	11	0.863	4951	250.39762611275964	292532	0.53	337	61	11263	None
bin.13	96.66	77.69	Neural Network (Specific Model)	11	0.892	20787	309.0842589654078	6539823	0.42	6302	494	121258	None
bin.14	23.32	0.01	Neural Network (Specific Model)	11	0.896	100885	340.20722891566265	472460	0.31	415	13	149574	None
bin.15	94.73	1.15	Gradient Boost (General Model)	11	0.898	27950	320.64134563212156	1972052	0.62	1843	94	78323	None
bin.16	66.9	0.33	Neural Network (Specific Model)	11	0.876	12935	328.8620981387479	1330416	0.57	1182	155	76256	None
bin.17	73.6	1.6	Neural Network (Specific Model)	11	0.868	34861	320.69182389937106	2815552	0.42	2544	138	120491	None
bin.18	32.61	0.26	Neural Network (Specific Model)	11	0.889	6200	270.8690807799443	654354	0.38	718	122	23090	None
bin.19	9.34	0.0	Neural Network (Specific Model)	11	0.922	119635	346.81111111111113	202838	0.49	180	3	119635	None
bin.2	99.7	0.72	Gradient Boost (General Model)	11	0.855	139324	309.2013225569434	1474887	0.27	1361	23	310046	None
bin.20	66.68	4.43	Neural Network (Specific Model)	11	0.879	7927	277.47989394608925	2137417	0.38	2263	325	52335	None
bin.21	20.21	1.31	Neural Network (Specific Model)	11	0.852	17561	252.90980052038162	1022714	0.36	1153	88	163810	None
bin.22	61.89	0.0	Neural Network (Specific Model)	11	0.896	89899	330.56788665879577	1872481	0.45	1694	43	268920	None
bin.23	49.44	0.35	Neural Network (Specific Model)	11	0.89	167512	311.6007984031936	1051122	0.4	1002	10	378383	None
bin.24	94.37	0.65	Gradient Boost (General Model)	11	0.889	69155	307.30782122905026	1853126	0.61	1790	39	159632	None
bin.25	36.28	0.14	Neural Network (Specific Model)	11	0.871	4785	275.95762711864404	895946	0.6	944	197	16901	None
bin.26	14.72	0.0	Neural Network (Specific Model)	11	0.879	3488	260.4730941704036	395889	0.6	446	110	8490	None
bin.27	78.57	0.0	Neural Network (Specific Model)	11	0.908	213247	299.3317610062893	1256432	0.31	1272	14	226934	None
bin.28	16.29	0.0	Neural Network (Specific Model)	11	0.882	74150	323.97222222222223	356872	0.52	324	6	152366	None
bin.29	36.43	0.37	Neural Network (Specific Model)	11	0.883	71380	323.7933810375671	1228440	0.43	1118	34	129499	None
bin.3	51.4	0.0	Neural Network (Specific Model)	11	0.882	101701	314.73225806451615	1325924	0.54	1240	19	254882	None
bin.30	100.0	0.21	Gradient Boost (General Model)	11	0.91	79488	332.4073860357761	1896299	0.54	1733	37	190081	None
bin.31	9.84	0.0	Neural Network (Specific Model)	11	0.848	95496	337.67782426778246	285317	0.42	239	4	132694	None
bin.32	99.54	0.43	Neural Network (Specific Model)	11	0.863	104617	350.90256709451575	2089027	0.63	1714	32	176684	None
