Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
bin.1	41.72	0.18	Neural Network (Specific Model)	11	0.93	4400	310.7886904761905	1008240	0.44	1008	228	15088	None
bin.10	79.58	1.43	Neural Network (Specific Model)	11	0.901	46310	367.7371007371007	2489629	0.55	2035	73	183001	None
bin.11	58.45	3.75	Neural Network (Specific Model)	11	0.938	5418	355.7716849451645	2280787	0.49	2006	455	19952	None
bin.12	34.0	0.47	Neural Network (Specific Model)	11	0.885	3545	265.7419712070875	812223	0.6	903	224	13218	None
bin.13	97.99	0.44	Gradient Boost (General Model)	11	0.909	11020	295.35655994978026	1550688	0.5	1593	178	29840	None
bin.14	10.39	0.0	Neural Network (Specific Model)	11	0.901	60178	317.6	348248	0.51	330	9	138020	None
bin.15	26.94	0.02	Neural Network (Specific Model)	11	0.902	65471	328.7423580786026	499765	0.47	458	13	78375	None
bin.16	98.02	0.01	Neural Network (Specific Model)	11	0.837	15283	322.25627883136855	2250859	0.57	1951	197	68827	None
bin.17	89.14	0.19	Neural Network (Specific Model)	11	0.886	45484	323.1895241903239	2733035	0.53	2501	100	113988	None
bin.18	99.03	3.96	Neural Network (Specific Model)	11	0.903	23880	364.5598410472183	5171967	0.42	4278	360	126544	None
bin.19	66.68	0.17	Gradient Boost (General Model)	11	0.91	6040	302.998556998557	1381486	0.49	1386	251	16828	None
bin.2	10.31	0.0	Neural Network (Specific Model)	11	0.935	9659	322.9506726457399	230644	0.41	223	30	31244	None
bin.20	99.97	67.16	Neural Network (Specific Model)	11	0.874	43852	315.9928024146738	4663399	0.59	4307	173	120057	None
bin.21	85.15	0.34	Neural Network (Specific Model)	11	0.894	23854	328.03932327389117	2402669	0.43	2187	128	89051	None
bin.22	82.99	0.23	Gradient Boost (General Model)	11	0.895	11239	294.91280817799156	1640649	0.63	1663	188	50222	None
bin.23	74.35	0.85	Gradient Boost (General Model)	11	0.886	7719	307.4774088187262	1908804	0.61	1837	288	34088	None
bin.24	69.14	0.07	Gradient Boost (General Model)	11	0.861	46088	344.1951379763469	1822358	0.58	1522	59	100361	None
bin.25	77.72	8.22	Gradient Boost (General Model)	11	0.896	7143	300.84245960502693	2239748	0.59	2228	364	25543	None
bin.26	100.0	68.07	Neural Network (Specific Model)	11	0.908	26855	354.732232736058	5812961	0.45	4967	355	101684	None
bin.27	92.19	0.42	Neural Network (Specific Model)	11	0.861	30115	321.61607644744237	1991522	0.37	1779	103	93077	None
bin.28	49.76	0.55	Neural Network (Specific Model)	11	0.903	4688	288.9887737478411	1109967	0.53	1158	247	14545	None
bin.29	69.65	2.59	Gradient Boost (General Model)	11	0.892	4716	264.7816011235955	1264998	0.6	1424	274	15270	None
bin.3	99.95	0.28	Neural Network (Specific Model)	11	0.868	36304	319.10705596107056	2263690	0.55	2055	98	156016	None
bin.30	58.77	0.06	Neural Network (Specific Model)	11	0.904	49444	320.6986692015209	1118110	0.45	1052	34	118795	None
bin.31	18.85	0.12	Neural Network (Specific Model)	11	0.903	3744	274.28344671201813	400255	0.63	441	109	8234	None
bin.32	21.62	0.0	Neural Network (Specific Model)	11	0.939	26929	352.1663201663202	540395	0.45	481	25	49190	None
bin.33	99.05	99.62	Neural Network (Specific Model)	11	0.895	14212	312.2626686316744	9210547	0.43	8821	944	104314	None
bin.34	96.1	1.35	Gradient Boost (General Model)	11	0.886	54032	315.36812227074233	2442401	0.57	2290	74	125594	None
bin.35	11.91	0.0	Neural Network (Specific Model)	11	0.937	72609	365.7722772277228	235990	0.45	202	4	90949	None
bin.36	79.39	0.0	Neural Network (Specific Model)	11	0.855	15137	327.0625	1925658	0.52	1680	176	48919	None
bin.37	42.76	0.0	Neural Network (Specific Model)	11	0.884	120510	311.1906512605042	2007368	0.51	1904	24	361063	None
bin.38	84.02	0.05	Neural Network (Specific Model)	11	0.902	57185	361.4201446855871	2156493	0.51	1797	52	174126	None
bin.39	6.74	0.01	Neural Network (Specific Model)	11	0.903	3940	320.7309417040359	237190	0.53	223	62	8182	None
bin.4	52.06	0.01	Gradient Boost (General Model)	11	0.894	79999	342.1616766467066	1148182	0.59	1002	21	163187	None
bin.40	85.02	0.17	Gradient Boost (General Model)	11	0.894	76399	317.12230603448273	1971598	0.61	1856	27	265690	None
bin.41	73.36	0.19	Neural Network (Specific Model)	11	0.916	7934	350.0395809080326	983445	0.37	859	145	39096	None
