user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
bin.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor acetigignens	GCF_025567015.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor acetigignens	98.64	0.905	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have incongruent species assignments	GCF_025567015.1, s__Acetatifactor acetigignens, 95.0, 98.64, 0.905; GCA_900772845.1, s__Acetatifactor sp900772845, 95.0, 89.85, 0.57; GCA_040096245.1, s__Acetatifactor hominis, 95.0, 89.13, 0.495; GCF_009695995.1, s__Acetatifactor intestinalis, 95.0, 88.8, 0.459; GCA_900771995.1, s__Acetatifactor sp900771995, 95.0, 88.7, 0.578; GCA_945929965.1, s__Acetatifactor sp945929965, 95.36, 88.36, 0.449; GCA_934436435.1, s__Acetatifactor sp934436435, 95.0, 88.35, 0.492; GCA_934394815.1, s__Acetatifactor sp934394815, 95.0, 88.28, 0.509; GCA_934436245.1, s__Acetatifactor sp934436245, 95.0, 88.13, 0.415; GCA_963630275.1, s__Acetatifactor sp963630275, 95.0, 86.63, 0.381; GCA_900766575.1, s__Acetatifactor sp900766575, 95.0, 86.47, 0.353; GCA_002431915.1, s__Acetatifactor sp002431915, 95.0, 86.37, 0.394; GCA_963650795.1, s__Acetatifactor sp963650795, 95.0, 86.1, 0.35; GCA_963623435.1, s__Acetatifactor sp963623435, 95.0, 86.05, 0.335; GCA_934394665.1, s__Acetatifactor sp934394665, 95.0, 85.43, 0.263; GCA_934394515.1, s__Acetatifactor sp934394515, 95.0, 85.17, 0.285	47.06	11	N/A	N/A
bin.10	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides intestinalis	GCF_000172175.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides intestinalis	99.2	0.647	GCF_025146565.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides eggerthii	98.12	0.316	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	taxonomic classification defined by topology and ANI	N/A	GCA_900557355.1, s__Bacteroides sp900557355, 95.0, 96.43, 0.382; GCF_003464595.1, s__Bacteroides intestinalis_A, 95.0, 93.85, 0.466; GCF_902364365.1, s__Bacteroides sp900556215, 95.07, 92.96, 0.443; GCF_036416795.1, s__Bacteroides sp036416795, 95.05, 89.1, 0.281; GCF_028539415.1, s__Bacteroides cellulosilyticus, 95.26, 88.82, 0.278; GCF_020091405.1, s__Bacteroides sp900552405, 95.23, 88.73, 0.278; GCF_000513195.1, s__Bacteroides timonensis, 95.0, 88.5, 0.262; GCF_905207245.1, s__Bacteroides sp905207245, 95.0, 87.05, 0.197; GCF_900142015.1, s__Bacteroides stercorirosoris, 95.0, 85.66, 0.152; GCF_000315485.1, s__Bacteroides oleiciplenus, 95.0, 85.15, 0.189; GCA_947071285.1, s__Bacteroides sp947071285, 95.0, 84.34, 0.154	22.16	11	N/A	Genome has more than 10.8% of markers with multiple hits
bin.11	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcoides;s__Ruminococcoides intestinale	GCF_040096305.1	95.12	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcoides;s__Ruminococcoides intestinale	97.86	0.923	GCF_040096305.1	95.12	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcoides;s__Ruminococcoides intestinale	97.86	0.923	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcoides;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_002834225.1, s__Ruminococcoides bromii, 95.0, 94.85, 0.832; GCA_905215855.1, s__Ruminococcoides sp905215855, 95.0, 94.29, 0.807; GCA_902771755.1, s__Ruminococcoides sp902771755, 95.0, 93.2, 0.73; GCA_902766775.1, s__Ruminococcoides sp902766775, 95.0, 91.52, 0.642	22.7	11	N/A	N/A
bin.12	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia inulinivorans	GCF_000174195.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia inulinivorans	97.99	0.663	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have incongruent species assignments	GCF_000174195.1, s__Roseburia inulinivorans, 95.0, 97.99, 0.663; GCA_900542495.1, s__Roseburia sp900542495, 95.0, 91.32, 0.408	20.73	11	N/A	N/A
bin.13	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp003451515	GCA_003464165.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp003451515	97.52	0.874	GCA_003464165.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp003451515	97.52	0.874	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019424245.1, s__Lachnospira sp019424245, 95.0, 95.18, 0.17; GCF_009680455.1, s__Lachnospira eligens_A, 95.58, 95.12, 0.731; GCF_000146185.1, s__Lachnospira eligens, 95.0, 94.62, 0.675; GCF_003458705.1, s__Lachnospira sp003537285, 95.44, 93.81, 0.613; GCA_030537195.1, s__Lachnospira sp030537195, 95.0, 91.32, 0.672; GCA_963597265.1, s__Lachnospira sp963597265, 95.0, 91.11, 0.687; GCA_963590775.1, s__Lachnospira sp963590775, 95.0, 90.96, 0.606; GCA_934343805.1, s__Lachnospira sp934343805, 95.0, 89.89, 0.325; GCA_945910225.1, s__Lachnospira sp945910225, 95.0, 89.2, 0.283; GCA_963654395.1, s__Lachnospira sp963654395, 95.0, 87.64, 0.263	20.14	11	N/A	N/A
bin.14	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii	GCF_025145845.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii	99.15	0.919	GCF_025145845.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii	99.15	0.919	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_900541585.1, s__Alistipes sp900541585, 95.0, 94.18, 0.714; GCF_020026455.1, s__Alistipes sp020026455, 95.0, 90.29, 0.48; GCA_023443765.1, s__Alistipes sp023443765, 95.0, 88.87, 0.49; GCF_018362775.1, s__Alistipes montrealensis, 95.0, 88.51, 0.485; GCF_025145645.1, s__Alistipes senegalensis, 95.0, 88.0, 0.338; GCF_900083545.1, s__Alistipes provencensis, 95.0, 87.81, 0.308; GCA_001941065.1, s__Alistipes sp001941065, 95.0, 87.58, 0.278; GCF_900107675.1, s__Alistipes timonensis, 95.0, 87.57, 0.32	15.98	11	N/A	N/A
bin.15	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-194;s__CAG-194 sp000432915	GCA_000432915.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-194;s__CAG-194 sp000432915	98.78	0.96	GCA_000432915.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-194;s__CAG-194 sp000432915	98.78	0.96	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-194;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_018917935.1, s__CAG-194 sp018917935, 95.0, 91.29, 0.783; GCA_002441865.1, s__CAG-194 sp002441865, 95.0, 90.07, 0.699	35.5	11	N/A	N/A
bin.16	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp000432135	GCA_000432135.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp000432135	98.33	0.805	GCA_000432135.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp000432135	98.33	0.805	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900751035.1, s__CAG-170 sp900751035, 95.0, 91.93, 0.547; GCA_900545925.1, s__CAG-170 sp900545925, 95.0, 91.11, 0.598; GCA_902796245.1, s__CAG-170 sp902796245, 95.0, 90.82, 0.51; GCA_934668295.1, s__CAG-170 sp934668295, 95.0, 90.74, 0.475; GCA_934646185.1, s__CAG-170 sp934646185, 95.0, 90.4, 0.531; GCA_002404795.1, s__CAG-170 sp002404795, 95.0, 86.38, 0.254; GCA_934655875.1, s__CAG-170 sp934655875, 95.0, 85.67, 0.214	24.34	11	N/A	N/A
bin.17	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	GCF_025147485.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	97.93	0.866	GCF_025147485.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	97.93	0.866	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000614125.1, s__Bacteroides rodentium, 95.0, 93.88, 0.667; GCF_004793475.1, s__Bacteroides muris, 95.0, 91.4, 0.534; GCA_037413095.1, s__Bacteroides sp905197435, 95.0, 87.83, 0.472	11.12	11	N/A	N/A
bin.18	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei	GCF_013009555.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei	99.13	0.819	GCF_013009555.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei	99.13	0.819	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_964248265.1, s__Phocaeicola vulgatus, 95.21, 94.84, 0.663; GCA_019414665.1, s__Phocaeicola sp019414665, 95.0, 94.52, 0.263; GCA_019414725.1, s__Phocaeicola sp019414725, 95.0, 94.2, 0.324; GCA_948579315.1, s__Phocaeicola sp948579315, 95.0, 94.17, 0.297; GCA_947574505.1, s__Phocaeicola sp947574505, 95.0, 94.17, 0.276; GCA_948566455.1, s__Phocaeicola sp948566455, 95.0, 94.04, 0.292; GCA_900760795.1, s__Phocaeicola sp900760795, 95.0, 92.65, 0.352; GCF_024622025.1, s__Phocaeicola sartorii, 95.0, 89.8, 0.508; GCA_947072895.1, s__Phocaeicola sp011959205, 95.0, 88.35, 0.409; GCA_963651205.1, s__Phocaeicola sp963651205, 95.0, 86.04, 0.347	48.09	11	N/A	N/A
