user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
bin.1	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp000437735	GCF_020564355.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp000437735	99.15	0.971	GCF_020564355.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp000437735	99.15	0.971	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	27.44	11	N/A	N/A
bin.10	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides massiliensis_E	GCF_900128475.1	95.22	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides massiliensis_E	96.92	0.867	GCF_900128475.1	95.22	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides massiliensis_E	96.92	0.867	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_958402075.1, s__Bacteroides massiliensis_D, 95.0, 95.62, 0.801; GCF_902493215.1, s__Bacteroides sp902493215, 95.0, 88.27, 0.534; GCA_019116805.1, s__Bacteroides merdavium, 95.0, 86.13, 0.381; GCF_019239235.1, s__Bacteroides pullorum, 95.0, 86.11, 0.407; GCF_947632445.1, s__Bacteroides sp947632445, 95.0, 81.76, 0.227; GCF_949298305.1, s__Bacteroides sp949298305, 95.0, 80.94, 0.17; GCA_944319875.1, s__Bacteroides sp944319875, 95.0, 80.93, 0.172	81.57	11	N/A	N/A
bin.11	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	GCF_025147485.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	98.48	0.801	GCF_025147485.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	98.48	0.801	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000614125.1, s__Bacteroides rodentium, 95.0, 94.85, 0.647; GCF_004793475.1, s__Bacteroides muris, 95.0, 92.28, 0.53; GCA_037413095.1, s__Bacteroides sp905197435, 95.0, 88.62, 0.475	43.94	11	N/A	N/A
bin.12	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium intestinale	GCF_040096575.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium intestinale	97.22	0.893	GCF_040096515.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium tardum	94.97	0.821	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	N/A	GCF_003324185.1, s__Faecalibacterium prausnitzii, 95.0, 95.32, 0.847; GCA_900772565.1, s__Faecalibacterium sp900772565, 95.0, 94.71, 0.808; GCF_023347295.1, s__Faecalibacterium sp003449675, 95.0, 94.61, 0.797; GCA_934524985.1, s__Faecalibacterium sp934524985, 95.0, 94.51, 0.762; GCA_934539245.1, s__Faecalibacterium sp934539245, 95.0, 94.5, 0.782; GCA_934532365.1, s__Faecalibacterium sp934532365, 95.0, 94.45, 0.746; GCA_934525325.1, s__Faecalibacterium sp934525325, 95.0, 94.45, 0.649; GCA_905215595.1, s__Faecalibacterium sp905215595, 95.0, 94.42, 0.724; GCA_934561115.1, s__Faecalibacterium sp934561115, 95.0, 94.4, 0.691; GCA_934525405.1, s__Faecalibacterium sp934525405, 95.0, 94.36, 0.705; GCA_934540955.1, s__Faecalibacterium sp934540955, 95.0, 94.31, 0.702; GCA_934561555.1, s__Faecalibacterium sp934561555, 95.0, 94.29, 0.767; GCA_934503275.1, s__Faecalibacterium sp934503275, 95.0, 94.29, 0.749; GCA_934512105.1, s__Faecalibacterium sp934512105, 95.0, 94.18, 0.687; GCA_963654645.1, s__Faecalibacterium sp963654645, 95.0, 94.04, 0.681; GCA_900765705.1, s__Faecalibacterium sp900765705, 95.0, 92.66, 0.572; GCA_902463235.1, s__Faecalibacterium sp902463235, 95.0, 91.52, 0.279; GCA_934513205.1, s__Faecalibacterium sp934513205, 95.0, 89.96, 0.382; GCA_934553285.1, s__Faecalibacterium sp934553285, 95.0, 89.76, 0.532; GCA_900765105.1, s__Faecalibacterium sp900765105, 95.0, 89.11, 0.317; GCA_902463905.1, s__Faecalibacterium sp902463905, 95.0, 88.27, 0.255; GCA_025757845.1, s__Faecalibacterium sp900539945, 95.0, 88.13, 0.31; GCF_023347535.1, s__Faecalibacterium wellingii, 95.0, 88.12, 0.296; GCF_036632915.2, s__Faecalibacterium taiwanense, 95.0, 88.11, 0.316; GCA_934525845.1, s__Faecalibacterium sp934525845, 95.0, 87.92, 0.277; GCA_004558805.1, s__Faecalibacterium prausnitzii_M, 95.0, 87.88, 0.248; GCF_002549775.1, s__Faecalibacterium prausnitzii_F, 95.0, 87.58, 0.299; GCA_934561485.1, s__Faecalibacterium sp934561485, 95.0, 87.46, 0.256; GCA_934501115.1, s__Faecalibacterium sp934501115, 95.0, 87.41, 0.246; GCA_934525735.1, s__Faecalibacterium sp934525735, 95.0, 87.32, 0.252; GCA_934511465.1, s__Faecalibacterium sp934511465, 95.0, 87.27, 0.227; GCA_963615785.1, s__Faecalibacterium sp963615785, 95.0, 87.24, 0.245; GCA_934518555.1, s__Faecalibacterium sp934518555, 95.0, 87.23, 0.217; GCF_023347275.1, s__Faecalibacterium butyricigenerans, 95.0, 87.13, 0.171; GCA_963656875.1, s__Faecalibacterium sp963656875, 95.0, 87.06, 0.192; GCA_934514285.1, s__Faecalibacterium sp934514285, 95.0, 86.83, 0.15; GCF_019967995.1, s__Faecalibacterium prausnitzii_E, 95.0, 86.82, 0.183; GCF_010509575.1, s__Faecalibacterium duncaniae, 95.0, 86.79, 0.19; GCA_963646665.1, s__Faecalibacterium sp963646665, 95.0, 86.75, 0.236; GCF_003287455.1, s__Faecalibacterium hattorii, 95.0, 86.38, 0.173	19.18	11	N/A	N/A
bin.13	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__Scatacola_A;s__Scatacola_A faecigallinarum	GCA_018713605.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__Scatacola_A;s__Scatacola_A faecigallinarum	97.35	0.895	GCA_018713605.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__Scatacola_A;s__Scatacola_A faecigallinarum	97.35	0.895	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__Scatacola_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_944391505.1, s__Scatacola_A sp944391505, 95.0, 85.43, 0.467	87.51	11	N/A	N/A
bin.14	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (9.1%)
bin.15	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__Fimenecus sp000432435	GCA_000432435.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__Fimenecus sp000432435	98.28	0.869	GCA_000432435.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__Fimenecus sp000432435	98.28	0.869	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Fimenecus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_022768065.1, s__Fimenecus sp022768065, 95.0, 91.59, 0.745; GCA_002437245.1, s__Fimenecus sp002437245, 95.0, 89.75, 0.695	36.14	11	N/A	N/A
bin.16	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis	GCA_004000625.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis	98.72	0.898	GCA_004000625.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis	98.72	0.898	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_963626055.1, s__Gemmiger sp963626055, 95.0, 93.76, 0.836	93.96	11	N/A	N/A
bin.17	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__CAG-115 sp003531585	GCA_003531585.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__CAG-115 sp003531585	98.62	0.904	GCA_003531585.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__CAG-115 sp003531585	98.62	0.904	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-115;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_945923775.1, s__CAG-115 sp945923775, 95.0, 94.31, 0.795; GCA_934456315.1, s__CAG-115 sp934456315, 95.0, 87.36, 0.477; GCA_900768125.1, s__CAG-115 sp900768125, 95.0, 86.11, 0.43; GCA_934446565.1, s__CAG-115 sp934446565, 95.0, 86.09, 0.466; GCA_937893735.1, s__CAG-115 sp937893735, 95.0, 84.29, 0.19; GCA_934448295.1, s__CAG-115 sp934448295, 95.0, 84.0, 0.285; GCA_934457235.1, s__CAG-115 sp934457235, 95.0, 82.97, 0.192; GCA_900542145.1, s__CAG-115 sp003507295, 95.0, 82.94, 0.23; GCA_934466475.1, s__CAG-115 sp934466475, 95.0, 82.92, 0.241; GCA_934481355.1, s__CAG-115 sp934481355, 95.0, 82.89, 0.249; GCA_000432175.1, s__CAG-115 sp000432175, 95.0, 82.4, 0.184; GCA_934454435.1, s__CAG-115 sp934454435, 95.0, 81.92, 0.191	93.61	11	N/A	N/A
bin.18	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus	GCF_964248265.1	95.21	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus	99.09	0.701	GCF_964248265.1	95.21	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus	99.09	0.701	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_948566455.1, s__Phocaeicola sp948566455, 95.0, 98.53, 0.371; GCA_019414725.1, s__Phocaeicola sp019414725, 95.0, 96.98, 0.366; GCA_947574505.1, s__Phocaeicola sp947574505, 95.0, 96.64, 0.352; GCA_019414665.1, s__Phocaeicola sp019414665, 95.0, 96.45, 0.359; GCF_013009555.1, s__Phocaeicola dorei, 95.0, 95.65, 0.674; GCA_948579315.1, s__Phocaeicola sp948579315, 95.0, 95.61, 0.375; GCA_900760795.1, s__Phocaeicola sp900760795, 95.0, 94.28, 0.437; GCF_024622025.1, s__Phocaeicola sartorii, 95.0, 90.42, 0.505; GCA_947072895.1, s__Phocaeicola sp011959205, 95.0, 89.6, 0.495; GCA_963651205.1, s__Phocaeicola sp963651205, 95.0, 86.75, 0.332; GCA_947173895.1, s__Phocaeicola sp947173895, 95.0, 80.66, 0.168	69.04	11	N/A	N/A
