user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
bin.1	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (7.4%)
bin.10	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Lentihominibacter;s__Lentihominibacter faecis	GCF_014306095.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Lentihominibacter;s__Lentihominibacter faecis	97.95	0.88	GCF_014306095.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Lentihominibacter;s__Lentihominibacter faecis	97.95	0.88	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Lentihominibacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_934281605.1, s__Lentihominibacter sp934281605, 95.0, 88.22, 0.424; GCA_963603335.1, s__Lentihominibacter sp963603335, 95.0, 84.75, 0.156	58.62	11	N/A	N/A
bin.11	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (3.3%)
bin.12	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (4.7%)
bin.13	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter faecis	GCA_001312505.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter faecis	97.39	0.693	GCA_001312505.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter faecis	97.39	0.693	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_934309345.1, s__Mediterraneibacter sp934309345, 95.0, 94.08, 0.634	23.09	11	N/A	Genome has more than 76.7% of markers with multiple hits
bin.15	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900543625	GCA_900543625.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900543625	97.4	0.88	GCA_900543625.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900543625	97.4	0.88	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_905215475.1, s__CAG-103 sp905215475, 95.0, 94.74, 0.852; GCA_934591895.1, s__CAG-103 sp934591895, 95.0, 93.88, 0.834; GCA_025757645.1, s__CAG-103 sp000432375, 95.0, 90.84, 0.73; GCA_900317855.1, s__CAG-103 sp900317855, 95.0, 90.42, 0.691; GCA_934589185.1, s__CAG-103 sp934589185, 95.43, 90.4, 0.655; GCA_900757655.1, s__CAG-103 sp900757655, 95.0, 90.2, 0.718; GCA_963627135.1, s__CAG-103 sp963627135, 95.0, 89.83, 0.673; GCA_004556965.1, s__CAG-103 sp004556965, 95.0, 80.34, 0.158	92.77	11	N/A	N/A
bin.16	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum	GCF_001025215.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum	97.92	0.929	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have incongruent species assignments	GCF_001025215.1, s__Bifidobacterium pseudocatenulatum, 95.0, 97.92, 0.929; GCF_959020145.1, s__Bifidobacterium sp959020145, 95.0, 94.82, 0.568; GCF_040095915.1, s__Bifidobacterium hominis, 95.0, 93.91, 0.795; GCF_000800455.1, s__Bifidobacterium kashiwanohense_A, 95.0, 92.97, 0.723; GCF_001025195.1, s__Bifidobacterium catenulatum, 95.3, 92.84, 0.723; GCF_959028125.1, s__Bifidobacterium sp959028125, 95.0, 91.11, 0.481; GCF_000010425.1, s__Bifidobacterium adolescentis, 95.0, 85.63, 0.273; GCF_959020155.1, s__Bifidobacterium sp959020155, 95.0, 84.51, 0.159; GCF_001042595.1, s__Bifidobacterium dentium, 95.0, 82.93, 0.159; GCF_000770925.1, s__Bifidobacterium ruminantium, 95.0, 82.92, 0.181; GCA_963619615.1, s__Bifidobacterium sp963619615, 95.0, 82.91, 0.155; GCA_963590945.1, s__Bifidobacterium sp963590945, 95.0, 82.38, 0.16; GCF_000522505.1, s__Bifidobacterium moukalabense, 95.0, 82.22, 0.151	60.27	11	N/A	N/A
bin.17	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	GCF_025148125.1	95.13	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	97.74	0.721	GCF_025148125.1	95.13	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	97.74	0.721	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_013300825.1, s__Blautia_A wexlerae_B, 95.0, 94.87, 0.616; GCA_958454115.1, s__Blautia_A wexlerae_C, 95.0, 94.57, 0.365; GCA_003471165.1, s__Blautia_A sp003471165, 95.0, 88.96, 0.384; GCF_018919065.1, s__Blautia_A sp018919065, 95.0, 88.65, 0.324; GCF_014297245.1, s__Blautia_A difficilis, 95.0, 87.52, 0.264; GCF_033096465.1, s__Blautia_A luti, 95.0, 87.25, 0.283; GCA_934437695.1, s__Blautia_A sp934437695, 95.0, 86.87, 0.316; GCA_003477525.1, s__Blautia_A sp003477525, 95.0, 86.71, 0.291; GCF_934416185.1, s__Blautia_A sp934416185, 95.0, 85.97, 0.258; GCA_963605995.1, s__Blautia_A sp963605995, 95.0, 84.72, 0.199	70.99	11	N/A	Genome has more than 10.8% of markers with multiple hits
bin.18	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister sp900541485	GCA_900541485.1	95.0	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister sp900541485	97.16	0.544	GCA_900541485.1	95.0	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister sp900541485	97.16	0.544	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900547785.1, s__Dialister sp900547785, 95.0, 84.9, 0.172	26.83	11	N/A	N/A
bin.19	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (4.1%)
