seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k119_35811	7859	No terminal repeats	NA	11	11	0.9836	NA	5	17.1154	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k119_29708	4826	No terminal repeats	NA	9	11	0.9834	NA	0	14.9802	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k119_23228	14355	No terminal repeats	NA	21	11	0.9830	NA	7	31.5393	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k119_5146	5033	No terminal repeats	NA	7	11	0.9829	NA	1	9.5836	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k119_17607	7247	No terminal repeats	NA	11	11	0.9828	NA	2	14.9692	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k119_64660	30801	No terminal repeats	NA	45	11	0.9827	NA	7	59.6083	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k119_14135	6216	No terminal repeats	NA	11	11	0.9826	NA	5	14.9389	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k119_9798	6087	No terminal repeats	NA	7	11	0.9826	NA	4	10.3312	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k119_28908	3883	No terminal repeats	NA	5	11	0.9823	NA	0	7.5119	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k119_24980	12935	No terminal repeats	NA	32	11	0.9823	NA	2	37.9699	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k119_39608|provirus_7332_37438	30107	Provirus	7332-37438	43	11	0.9823	NA	14	54.4605	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k119_3458	3535	No terminal repeats	NA	6	11	0.9822	NA	1	10.0942	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k119_45265	4125	No terminal repeats	NA	7	11	0.9819	NA	4	11.0974	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k119_62384	5861	No terminal repeats	NA	12	11	0.9818	NA	1	14.1882	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k119_48682	45380	No terminal repeats	NA	35	11	0.9818	NA	0	49.0378	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
