contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
k119_37878	640	No	NA	2	2	0	Low-quality	Genome-fragment	1.32	AAI-based (medium-confidence)	0.0	1.0	
k119_43318	2644	No	NA	2	0	1	Low-quality	Genome-fragment	5.69	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
k119_5425	624	No	NA	2	2	0	Low-quality	Genome-fragment	0.34	HMM-based (lower-bound)	0.0	1.0	
k119_43354	4384	No	NA	9	0	0	Low-quality	Genome-fragment	9.63	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
k119_37915	5723	No	NA	6	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k119_37939	871	No	NA	1	1	0	Low-quality	Genome-fragment	1.91	AAI-based (high-confidence)	0.0	1.0	
k119_27118	5853	No	NA	8	4	0	Low-quality	Genome-fragment	14.47	AAI-based (medium-confidence)	0.0	1.0	
k119_43385	3103	No	NA	3	3	0	Low-quality	Genome-fragment	5.48	AAI-based (medium-confidence)	0.0	1.0	
k119_21720	673	No	NA	1	1	0	Low-quality	Genome-fragment	1.09	HMM-based (lower-bound)	0.0	1.0	
k119_32606	489	No	NA	1	1	0	Low-quality	Genome-fragment	1.02	AAI-based (high-confidence)	0.0	1.0	
k119_38018	2509	No	NA	2	0	0	Low-quality	Genome-fragment	4.73	AAI-based (medium-confidence)	0.0	1.01	no viral genes detected
k119_54337	415	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k119_32623	5249	No	NA	7	1	2	Low-quality	Genome-fragment	1.38	HMM-based (lower-bound)	0.0	1.0	
k119_59583	4266	No	NA	3	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k119_43447	358	No	NA	1	1	0	Low-quality	Genome-fragment	0.22	HMM-based (lower-bound)	0.0	1.0	
k119_5470	553	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k119_38066	8059	No	NA	22	1	0	Low-quality	Genome-fragment	15.9	AAI-based (high-confidence)	0.0	1.0	
k119_43474	4284	No	NA	3	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.02	no viral genes detected
k119_179	1669	No	NA	3	1	0	Low-quality	Genome-fragment	3.92	AAI-based (high-confidence)	0.0	1.0	
k119_181	618	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k119_27139	2719	Yes	600	3	1	1	Low-quality	Genome-fragment	1.09	AAI-based (high-confidence)	77.93	1.0	
k119_48872	844	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k119_5539	4432	No	NA	13	1	0	Low-quality	Genome-fragment	10.66	AAI-based (high-confidence)	0.0	1.0	
k119_261	488	No	NA	2	0	0	Low-quality	Genome-fragment	1.14	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
