contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
k141_62044	3263	No	NA	4	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_13796	446	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_27594	5187	No	NA	6	0	0	Low-quality	Genome-fragment	8.91	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
k141_13815	3220	No	NA	5	1	0	Low-quality	Genome-fragment	6.84	AAI-based (high-confidence)	0.0	1.0	
k141_75864	6773	No	NA	7	0	0	Low-quality	Genome-fragment	10.27	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
k141_62126	3175	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_62129	578	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_41416	821	No	NA	2	2	0	Low-quality	Genome-fragment	0.79	AAI-based (high-confidence)	0.0	1.0	
k141_20738	4453	No	NA	5	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_62164	2185	No	NA	6	1	0	Low-quality	Genome-fragment	2.65	AAI-based (high-confidence)	0.0	1.0	
k141_75882	26846	Yes	23127	35	4	2	Low-quality	Genome-fragment	39.72	AAI-based (high-confidence)	13.85	1.0	
k141_75888	458	No	NA	1	1	0	Low-quality	Genome-fragment	0.75	HMM-based (lower-bound)	0.0	1.0	
k141_27611	58781	No	NA	85	31	2	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
k141_212	6131	No	NA	3	3	0	Low-quality	Genome-fragment	7.45	AAI-based (high-confidence)	0.0	1.0	
k141_55198	26812	Yes	25471	31	12	2	Medium-quality	Genome-fragment	50.79	AAI-based (high-confidence)	5.0	1.0	
k141_68985	14608	No	NA	19	11	0	Low-quality	Genome-fragment	41.37	AAI-based (high-confidence)	0.0	1.0	
k141_48333	375	No	NA	1	1	0	Low-quality	Genome-fragment	0.69	HMM-based (lower-bound)	0.0	1.0	
k141_75987	40149	No	NA	41	0	11	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_41457	31573	No	NA	42	27	1	Medium-quality	Genome-fragment	69.23	AAI-based (high-confidence)	0.0	1.0	
k141_13923	303	No	NA	2	1	0	Low-quality	Genome-fragment	0.55	HMM-based (lower-bound)	0.0	1.0	
k141_55219	17743	No	NA	22	2	0	Low-quality	Genome-fragment	4.53	AAI-based (high-confidence)	0.0	1.0	
k141_62296	3265	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_380	305	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_69039	318	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_48452	5203	No	NA	7	1	0	Low-quality	Genome-fragment	9.53	AAI-based (high-confidence)	0.0	1.0	
k141_55253	2103	No	NA	1	1	0	Low-quality	Genome-fragment	4.4	AAI-based (high-confidence)	0.0	1.0	
k141_455	5386	Yes	3487	7	1	1	Low-quality	Genome-fragment	7.73	AAI-based (medium-confidence)	35.26	1.0	
k141_48486	1036	No	NA	4	0	0	Low-quality	Genome-fragment	17.82	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
k141_69082	5997	No	NA	11	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_34729	439	No	NA	1	1	0	Low-quality	Genome-fragment	0.66	HMM-based (lower-bound)	0.0	1.0	
k141_55274	1907	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_41519	15427	No	NA	21	10	0	Low-quality	Genome-fragment	34.0	AAI-based (medium-confidence)	0.0	1.0	
k141_27779	433	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
k141_55291	34796	No	NA	51	17	0	Medium-quality	Genome-fragment	60.97	HMM-based (lower-bound)	0.0	1.0	
k141_14077	3026	No	NA	4	0	1	Low-quality	Genome-fragment	5.32	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
