seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
ERR2726406_855	5048	No terminal repeats	NA	13	11	0.9834	NA	2	20.7299	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726406_30459	3659	No terminal repeats	NA	6	11	0.9832	NA	2	9.6806	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726406_8325	4774	No terminal repeats	NA	10	11	0.9830	NA	0	11.1731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726406_27515	4754	No terminal repeats	NA	6	11	0.9830	NA	5	9.6919	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726406_196	21173	No terminal repeats	NA	23	11	0.9828	NA	13	37.7806	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726406_27435	5741	No terminal repeats	NA	12	11	0.9826	NA	0	12.1988	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726406_39336	5989	No terminal repeats	NA	11	11	0.9826	NA	5	13.7395	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726406_16576	8032	No terminal repeats	NA	11	11	0.9826	NA	4	12.3116	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726406_35075	8789	No terminal repeats	NA	8	11	0.9825	NA	2	12.9292	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726406_32062	5221	No terminal repeats	NA	14	11	0.9825	NA	1	17.5181	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726406_120101	5052	No terminal repeats	NA	5	11	0.9825	NA	0	8.5385	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726406_27491	6038	No terminal repeats	NA	7	11	0.9825	NA	2	10.0873	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726406_8656	7972	No terminal repeats	NA	9	11	0.9823	NA	4	14.2013	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726406_1032	13364	No terminal repeats	NA	16	11	0.9823	NA	5	24.3025	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726406_19527	5641	No terminal repeats	NA	11	11	0.9823	NA	3	15.4645	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726406_26806	3443	No terminal repeats	NA	8	11	0.9821	NA	5	12.0223	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726406_1624	9280	No terminal repeats	NA	12	11	0.9820	NA	2	19.9957	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726406_4277	5141	No terminal repeats	NA	5	11	0.9818	NA	0	8.2763	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726406_3977	4401	No terminal repeats	NA	8	11	0.9818	NA	1	12.0308	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726406_7291	38393	No terminal repeats	NA	55	11	0.9817	NA	13	60.7493	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726406_4829	7256	No terminal repeats	NA	9	11	0.9817	NA	4	13.3770	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726406_24871	5183	No terminal repeats	NA	6	11	0.9816	NA	2	9.7417	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726406_28953	6845	No terminal repeats	NA	16	11	0.9816	NA	1	21.1568	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726406_49801	3196	No terminal repeats	NA	6	11	0.9816	NA	0	8.0213	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726406_42443	3186	No terminal repeats	NA	6	11	0.9816	NA	1	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726406_8203	7173	No terminal repeats	NA	6	11	0.9816	NA	2	6.1983	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726406_2136	26446	No terminal repeats	NA	35	11	0.9814	NA	9	53.1769	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726406_11136	4498	No terminal repeats	NA	6	11	0.9814	NA	1	8.6397	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726406_565	37747	No terminal repeats	NA	55	11	0.9813	NA	18	61.4863	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
ERR2726406_23861	3459	No terminal repeats	NA	8	11	0.9813	NA	3	10.9728	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
