contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
ERR2726406_35	3298	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
ERR2726406_113	3687	No	NA	6	1	0	Low-quality	Genome-fragment	3.62	AAI-based (high-confidence)	0.0	1.0	
ERR2726406_124	5595	No	NA	7	2	0	Low-quality	Genome-fragment	8.71	HMM-based (lower-bound)	0.0	1.0	
ERR2726406_139	21073	No	NA	35	10	1	Medium-quality	Genome-fragment	61.57	AAI-based (high-confidence)	0.0	1.0	
ERR2726406_196	21173	No	NA	23	22	0	Low-quality	Genome-fragment	47.13	AAI-based (high-confidence)	0.0	1.0	
ERR2726406_251	1554	No	NA	2	1	0	Low-quality	Genome-fragment	0.4	AAI-based (high-confidence)	0.0	1.0	
ERR2726406_268	3145	No	NA	6	1	0	Low-quality	Genome-fragment	7.67	AAI-based (medium-confidence)	0.0	1.0	
ERR2726406_282	9780	No	NA	13	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
ERR2726406_292	11417	No	NA	26	1	0	Low-quality	Genome-fragment	32.62	AAI-based (high-confidence)	0.0	1.0	
ERR2726406_294	4096	No	NA	11	1	0	Low-quality	Genome-fragment	1.04	AAI-based (high-confidence)	0.0	1.0	
ERR2726406_394	1815	No	NA	3	2	0	Low-quality	Genome-fragment	4.82	AAI-based (medium-confidence)	0.0	1.0	
ERR2726406_424	19423	No	NA	39	5	0	Low-quality	Genome-fragment	24.04	AAI-based (medium-confidence)	0.0	1.0	
ERR2726406_510	28594	No	NA	39	15	0	Medium-quality	Genome-fragment	50.76	HMM-based (lower-bound)	0.0	1.0	
ERR2726406_512	5148	No	NA	9	0	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
ERR2726406_558	41367	No	NA	60	21	1	Medium-quality	Genome-fragment	54.37	AAI-based (medium-confidence)	0.0	1.0	
ERR2726406_565	37747	No	NA	55	20	0	Medium-quality	Genome-fragment	74.97	AAI-based (high-confidence)	0.0	1.0	
ERR2726406_761	14749	No	NA	15	1	0	Low-quality	Genome-fragment	24.64	AAI-based (medium-confidence)	0.0	1.0	low-confidence DTR
ERR2726406_796	9349	No	NA	11	1	0	Low-quality	Genome-fragment	15.4	AAI-based (high-confidence)	0.0	1.0	
ERR2726406_829	454	No	NA	1	1	0	Low-quality	Genome-fragment	0.69	HMM-based (lower-bound)	0.0	1.0	
ERR2726406_845	11313	No	NA	8	2	0	Low-quality	Genome-fragment	17.76	AAI-based (medium-confidence)	0.0	1.0	
ERR2726406_855	5048	No	NA	13	2	0	Low-quality	Genome-fragment	16.97	AAI-based (high-confidence)	0.0	1.0	
ERR2726406_861	4890	No	NA	6	0	1	Low-quality	Genome-fragment	8.11	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
ERR2726406_867	844	No	NA	2	2	0	Low-quality	Genome-fragment	2.29	AAI-based (high-confidence)	0.0	1.0	
ERR2726406_876	11817	No	NA	14	5	2	Low-quality	Genome-fragment	25.42	AAI-based (high-confidence)	0.0	1.0	
ERR2726406_915	2341	No	NA	2	0	2	Low-quality	Genome-fragment	3.78	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
ERR2726406_949	46219	No	NA	65	17	0	Medium-quality	Genome-fragment	83.53	AAI-based (medium-confidence)	0.0	1.0	
ERR2726406_958	3153	No	NA	3	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
ERR2726406_971	2891	No	NA	3	2	0	Low-quality	Genome-fragment	6.43	AAI-based (medium-confidence)	0.0	1.0	
ERR2726406_997	734	No	NA	2	1	0	Low-quality	Genome-fragment	1.36	AAI-based (high-confidence)	0.0	1.0	
ERR2726406_1032	13364	No	NA	16	11	0	Low-quality	Genome-fragment	37.23	AAI-based (high-confidence)	0.0	1.0	
ERR2726406_1035	3023	No	NA	2	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
ERR2726406_1057	9789	No	NA	15	6	0	Low-quality	Genome-fragment	30.16	AAI-based (high-confidence)	0.0	1.0	
ERR2726406_1068	1290	No	NA	2	2	0	Low-quality	Genome-fragment	3.58	AAI-based (high-confidence)	0.0	1.0	
ERR2726406_1123	21386	No	NA	8	3	0	Low-quality	Genome-fragment	35.38	AAI-based (high-confidence)	0.0	1.0	
ERR2726406_1200	2873	No	NA	4	2	0	Low-quality	Genome-fragment	6.91	AAI-based (medium-confidence)	0.0	1.0	
ERR2726406_1201	4953	No	NA	1	1	0	Low-quality	Genome-fragment	1.88	HMM-based (lower-bound)	0.0	1.0	
ERR2726406_1209	33249	Yes	14929	42	5	6	Low-quality	Genome-fragment	34.86	AAI-based (high-confidence)	55.1	1.0	low-confidence Provirus
ERR2726406_1242	11700	No	NA	19	2	1	Low-quality	Genome-fragment	22.88	AAI-based (high-confidence)	0.0	1.0	
ERR2726406_1251	5653	No	NA	10	1	0	Low-quality	Genome-fragment	39.15	AAI-based (high-confidence)	0.0	1.0	
ERR2726406_1261	13781	No	NA	13	1	0	Low-quality	Genome-fragment	25.36	AAI-based (high-confidence)	0.0	1.0	
ERR2726406_1285	7116	No	NA	7	3	0	Low-quality	Genome-fragment	1.82	AAI-based (high-confidence)	0.0	1.0	
ERR2726406_1391	2597	No	NA	2	0	0	Low-quality	Genome-fragment	4.85	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
ERR2726406_1419	13996	No	NA	16	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
ERR2726406_1475	5648	No	NA	11	3	1	Low-quality	Genome-fragment	4.55	AAI-based (high-confidence)	0.0	1.0	
ERR2726406_1493	2521	No	NA	3	2	0	Low-quality	Genome-fragment	7.04	AAI-based (high-confidence)	0.0	1.0	
ERR2726406_1542	14657	No	NA	20	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
ERR2726406_1568	7995	No	NA	12	1	0	Low-quality	Genome-fragment	16.86	AAI-based (medium-confidence)	0.0	1.0	
ERR2726406_1571	338	No	NA	1	1	0	Low-quality	Genome-fragment	1.04	AAI-based (high-confidence)	0.0	1.0	
ERR2726406_1578	3707	No	NA	8	0	0	Low-quality	Genome-fragment	0.95	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
ERR2726406_1598	3209	No	NA	7	3	0	Low-quality	Genome-fragment	5.22	AAI-based (high-confidence)	0.0	1.0	
ERR2726406_1613	4485	No	NA	7	0	0	Low-quality	Genome-fragment	10.02	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
ERR2726406_1624	9280	No	NA	12	3	0	Low-quality	Genome-fragment	16.39	AAI-based (high-confidence)	0.0	1.0	
ERR2726406_1674	749	No	NA	1	0	0	Low-quality	Genome-fragment	1.57	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
ERR2726406_1697	17309	No	NA	29	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
ERR2726406_1758	5857	No	NA	6	0	2	Low-quality	Genome-fragment	1.75	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
ERR2726406_1779	5345	No	NA	7	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
ERR2726406_1847	155	No	NA	1	1	0	Low-quality	Genome-fragment	0.41	HMM-based (lower-bound)	0.0	1.0	
ERR2726406_1863	11748	No	NA	20	5	1	Low-quality	Genome-fragment	20.32	AAI-based (high-confidence)	0.0	1.0	
ERR2726406_1917	6507	No	NA	6	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
ERR2726406_1965	5800	No	NA	4	0	0	Low-quality	Genome-fragment	13.55	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
ERR2726406_2136	26446	No	NA	35	21	0	Low-quality	Genome-fragment	42.85	AAI-based (high-confidence)	0.0	1.0	
