seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
SRR2912786_62319	5994	No terminal repeats	NA	9	11	0.9833	NA	4	13.0369	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
SRR2912786_366	30647	No terminal repeats	NA	45	11	0.9832	NA	7	59.6083	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
SRR2912786_6028	8456	No terminal repeats	NA	11	11	0.9830	NA	3	16.2473	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
SRR2912786_44129	7863	No terminal repeats	NA	11	11	0.9829	NA	3	18.2230	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
SRR2912786_39209	3061	No terminal repeats	NA	5	11	0.9829	NA	1	8.3520	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
SRR2912786_34717	4985	No terminal repeats	NA	7	11	0.9829	NA	1	9.5836	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
SRR2912786_15461	13168	No terminal repeats	NA	16	11	0.9829	NA	10	24.1141	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
SRR2912786_13660	4103	No terminal repeats	NA	8	11	0.9828	NA	3	13.5458	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
SRR2912786_26896	2853	No terminal repeats	NA	6	11	0.9828	NA	2	9.8951	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
SRR2912786_20946	6292	No terminal repeats	NA	6	11	0.9826	NA	3	10.1154	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
SRR2912786_10627	6299	No terminal repeats	NA	9	11	0.9826	NA	1	14.9978	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
SRR2912786_17030	4831	No terminal repeats	NA	7	11	0.9824	NA	0	7.9460	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
SRR2912786_15158	12875	No terminal repeats	NA	16	11	0.9822	NA	4	23.9203	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
SRR2912786_436	10712	No terminal repeats	NA	20	11	0.9822	NA	2	19.3817	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
SRR2912786_3198	4459	No terminal repeats	NA	5	11	0.9821	NA	1	8.3323	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
SRR2912786_24525	5869	No terminal repeats	NA	8	11	0.9821	NA	0	13.4932	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
SRR2912786_2794	7891	No terminal repeats	NA	13	11	0.9820	NA	1	16.2546	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
