contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
SRR2912786_1	2624	No	NA	2	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
SRR2912786_24	12646	No	NA	12	0	11	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
SRR2912786_73	16610	No	NA	26	6	0	Low-quality	Genome-fragment	40.21	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_278	1816	No	NA	3	1	0	Low-quality	Genome-fragment	4.62	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_288	66188	No	NA	75	15	1	Low-quality	Genome-fragment	37.62	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_366	30647	No	NA	45	19	0	Medium-quality	Genome-fragment	67.27	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_436	10712	No	NA	20	3	1	Low-quality	Genome-fragment	8.55	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_715	2659	No	NA	4	0	0	Low-quality	Genome-fragment	3.15	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
SRR2912786_732	5674	No	NA	12	1	0	Low-quality	Genome-fragment	11.72	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_758	1083	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
SRR2912786_792	31814	No	NA	39	4	2	Low-quality	Genome-fragment	25.46	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_813	17475	No	NA	43	1	0	Low-quality	Genome-fragment	10.08	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_875	13194	No	NA	8	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
SRR2912786_922	20699	No	NA	31	11	0	Medium-quality	Genome-fragment	52.94	AAI-based (medium-confidence)	0.0	1.0	
SRR2912786_939	42407	No	NA	83	14	0	Low-quality	Genome-fragment	23.98	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_952	2804	No	NA	4	1	0	Low-quality	Genome-fragment	4.56	HMM-based (lower-bound)	0.0	1.0	
SRR2912786_1087	51788	Yes	27306	80	21	12	Medium-quality	Genome-fragment	77.14	AAI-based (high-confidence)	47.27	1.0	low-confidence Provirus
SRR2912786_1120	163	No	NA	1	0	0	Low-quality	Genome-fragment	0.44	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
SRR2912786_1245	4867	No	NA	11	0	0	Low-quality	Genome-fragment	8.24	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
SRR2912786_1247	1312	No	NA	3	0	0	Low-quality	Genome-fragment	3.83	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
SRR2912786_1292	6008	No	NA	7	4	0	Low-quality	Genome-fragment	9.98	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_1326	18681	No	NA	24	6	0	Low-quality	Genome-fragment	47.06	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_1341	4256	No	NA	3	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
SRR2912786_1390	42505	No	NA	47	5	0	Low-quality	Genome-fragment	27.64	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_1428	13033	No	NA	15	0	7	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
SRR2912786_1667	11065	No	NA	15	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
SRR2912786_1775	26607	Yes	24266	35	18	2	Medium-quality	Genome-fragment	54.75	AAI-based (high-confidence)	8.8	1.0	
SRR2912786_1828	5182	No	NA	13	1	0	Low-quality	Genome-fragment	3.36	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_2124	41720	No	NA	44	5	0	Low-quality	Genome-fragment	27.65	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_2151	1279	No	NA	3	1	0	Low-quality	Genome-fragment	1.72	HMM-based (lower-bound)	0.0	1.0	
SRR2912786_2183	1079	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
SRR2912786_2226	4952	No	NA	10	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
SRR2912786_2251	14538	Yes	9859	30	5	2	Low-quality	Genome-fragment	29.96	AAI-based (high-confidence)	32.18	1.0	
SRR2912786_2309	462	No	NA	1	1	0	Low-quality	Genome-fragment	1.21	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_2344	4264	No	NA	6	1	0	Low-quality	Genome-fragment	7.31	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_2362	5678	No	NA	5	0	1	Low-quality	Genome-fragment	5.41	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
SRR2912786_2401	6912	No	NA	8	4	0	Low-quality	Genome-fragment	15.48	AAI-based (medium-confidence)	0.0	1.0	
SRR2912786_2489	4651	Yes	3595	10	1	2	Low-quality	Genome-fragment	11.05	AAI-based (high-confidence)	22.7	1.0	
SRR2912786_2541	2624	Yes	1271	3	1	1	Low-quality	Genome-fragment	2.56	AAI-based (medium-confidence)	51.56	1.0	
SRR2912786_2614	291	No	NA	1	0	0	Low-quality	Genome-fragment	0.2	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
SRR2912786_2794	7891	No	NA	13	3	0	Low-quality	Genome-fragment	7.79	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_2804	15163	No	NA	21	4	1	Low-quality	Genome-fragment	18.42	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_2822	1065	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
SRR2912786_2823	3490	No	NA	6	2	0	Low-quality	Genome-fragment	5.65	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_2878	193	No	NA	1	1	0	Low-quality	Genome-fragment	0.56	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_2896	16322	No	NA	20	1	2	Low-quality	Genome-fragment	10.81	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_2935	25664	No	NA	17	2	0	Low-quality	Genome-fragment	16.95	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_3002	5845	No	NA	4	0	1	Low-quality	Genome-fragment	3.39	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
SRR2912786_3175	8670	No	NA	8	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
SRR2912786_3198	4459	No	NA	5	2	0	Low-quality	Genome-fragment	7.23	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_3210	22982	No	NA	49	4	0	Low-quality	Genome-fragment	13.05	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_3304	7372	No	NA	7	0	0	Low-quality	Genome-fragment	14.49	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
SRR2912786_3307	11665	No	NA	22	3	1	Low-quality	Genome-fragment	30.1	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_3402	13097	No	NA	24	6	1	Low-quality	Genome-fragment	37.6	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_3467	3858	No	NA	2	0	0	Low-quality	Genome-fragment	5.88	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
SRR2912786_3518	15930	No	NA	9	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
SRR2912786_3525	9546	No	NA	9	6	0	Low-quality	Genome-fragment	20.2	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_3616	4776	No	NA	4	0	0	Low-quality	Genome-fragment	7.52	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
SRR2912786_3689	6067	No	NA	18	0	0	Low-quality	Genome-fragment	3.92	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
SRR2912786_3738	27021	No	NA	34	12	0	Medium-quality	Genome-fragment	69.73	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_3780	22453	No	NA	28	6	0	Low-quality	Genome-fragment	21.1	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_3842	199	No	NA	1	0	0	Low-quality	Genome-fragment	0.39	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
SRR2912786_4059	14293	No	NA	30	1	3	Low-quality	Genome-fragment	34.35	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_4065	2007	No	NA	2	2	0	Low-quality	Genome-fragment	4.94	AAI-based (medium-confidence)	0.0	1.0	
SRR2912786_4178	41007	No	NA	45	24	1	Medium-quality	Genome-fragment	77.1	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_4313	4681	No	NA	9	1	0	Low-quality	Genome-fragment	10.37	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_4383	13179	No	NA	21	4	0	Low-quality	Genome-fragment	37.83	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_4407	1139	No	NA	2	2	0	Low-quality	Genome-fragment	2.76	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_4503	41913	No	NA	74	10	1	Low-quality	Genome-fragment	27.72	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_4582	3434	No	NA	8	0	0	Low-quality	Genome-fragment	8.44	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
SRR2912786_4634	1276	No	NA	3	1	0	Low-quality	Genome-fragment	1.73	HMM-based (lower-bound)	0.0	1.0	
SRR2912786_4645	6142	No	NA	6	3	0	Low-quality	Genome-fragment	16.24	AAI-based (medium-confidence)	0.0	1.0	
SRR2912786_4669	13803	No	NA	31	7	0	Low-quality	Genome-fragment	22.57	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_4698	4257	No	NA	13	0	0	Low-quality	Genome-fragment	3.58	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
SRR2912786_4735	18809	No	NA	25	1	3	Low-quality	Genome-fragment	7.47	HMM-based (lower-bound)	0.0	1.0	
SRR2912786_4816	7461	No	NA	11	1	0	Low-quality	Genome-fragment	11.0	HMM-based (lower-bound)	0.0	1.0	low-confidence DTR
SRR2912786_4822	6975	No	NA	15	3	0	Low-quality	Genome-fragment	19.34	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_4936	2189	No	NA	3	2	0	Low-quality	Genome-fragment	3.94	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_5020	13256	No	NA	11	3	1	Low-quality	Genome-fragment	10.56	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_5138	15855	No	NA	21	8	0	Medium-quality	Genome-fragment	70.04	AAI-based (medium-confidence)	0.0	1.0	
SRR2912786_5232	11816	No	NA	2	0	0	Low-quality	Genome-fragment	11.19	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
SRR2912786_5254	14396	No	NA	7	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
SRR2912786_5321	1834	No	NA	2	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
SRR2912786_5544	38018	No	NA	51	25	0	High-quality	High-quality	96.35	AAI-based (medium-confidence)	0.0	1.0	
SRR2912786_5550	4280	No	NA	12	0	0	Low-quality	Genome-fragment	8.44	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
SRR2912786_5584	7624	No	NA	17	4	0	Low-quality	Genome-fragment	19.62	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_5707	2852	No	NA	3	2	0	Low-quality	Genome-fragment	4.9	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_5717	2517	Yes	1261	2	1	1	Low-quality	Genome-fragment	0.45	HMM-based (lower-bound)	49.9	1.01	
SRR2912786_5764	2540	No	NA	3	3	0	Low-quality	Genome-fragment	7.41	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_5783	10633	No	NA	9	2	0	Low-quality	Genome-fragment	11.48	AAI-based (high-confidence)	0.0	1.0	
SRR2912786_6028	8456	No	NA	11	8	0	Low-quality	Genome-fragment	20.22	AAI-based (medium-confidence)	0.0	1.0	
