Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
bin.1	69.73	0.84	Neural Network (Specific Model)	11	0.909	9838	319.6767422334173	2507855	0.48	2382	312	60068	None
bin.10	61.12	23.98	Neural Network (Specific Model)	11	0.922	9282	380.4008237589421	5704629	0.43	4613	777	49865	None
bin.11	34.8	0.09	Neural Network (Specific Model)	11	0.889	4018	270.02764976958525	592506	0.42	651	146	11562	None
bin.12	48.21	3.84	Neural Network (Specific Model)	11	0.908	4787	284.77905308464847	1962655	0.41	2091	417	41828	None
bin.13	25.98	0.15	Neural Network (Specific Model)	11	0.931	3715	292.8556832694764	737704	0.38	783	199	10035	None
bin.14	31.44	0.07	Neural Network (Specific Model)	11	0.922	4193	311.9850980392157	1293160	0.61	1275	308	15432	None
bin.15	60.57	1.2	Neural Network (Specific Model)	11	0.925	6386	306.17110716400236	1673654	0.45	1689	290	20697	None
bin.16	47.86	0.07	Neural Network (Specific Model)	11	0.912	4715	282.69175627240145	1293914	0.59	1395	282	14123	None
bin.17	26.96	0.48	Neural Network (Specific Model)	11	0.929	8071	367.58516483516485	1294446	0.49	1092	195	41007	None
bin.18	82.01	7.91	Neural Network (Specific Model)	11	0.908	15675	358.7874282733438	4538602	0.41	3834	420	94066	None
bin.19	69.67	0.28	Neural Network (Specific Model)	11	0.921	9577	302.5135135135135	2147430	0.44	2183	278	36457	None
bin.2	12.17	0.0	Neural Network (Specific Model)	11	0.893	4506	262.7620817843866	236853	0.48	269	53	14594	None
bin.20	47.74	0.01	Neural Network (Specific Model)	11	0.922	4932	316.53408110440034	2384085	0.45	2318	495	20601	None
bin.21	82.94	2.51	Gradient Boost (General Model)	11	0.899	8977	331.0497925311203	2392476	0.44	2169	331	39224	None
bin.22	80.03	1.05	Neural Network (Specific Model)	11	0.908	12127	319.851684263449	2099994	0.54	1989	221	52939	None
bin.23	8.4	0.0	Neural Network (Specific Model)	11	0.895	3739	290.41843971631204	274131	0.58	282	75	6221	None
bin.24	4.83	0.02	Neural Network (Specific Model)	11	0.886	7327	265.71259842519686	227732	0.33	254	38	14456	None
bin.25	8.61	0.02	Neural Network (Specific Model)	11	0.856	4616	266.74	280023	0.53	300	59	17621	None
bin.26	84.92	2.52	Neural Network (Specific Model)	11	0.914	11692	307.5301161103048	2775467	0.4	2756	313	46948	None
bin.27	6.45	0.0	Neural Network (Specific Model)	11	0.931	3261	296.56573705179284	239596	0.43	251	71	6333	None
bin.28	34.01	0.17	Neural Network (Specific Model)	11	0.912	4512	263.2462365591398	804013	0.63	930	186	13090	None
bin.29	13.19	0.5	Neural Network (Specific Model)	11	0.885	6610	285.4048387096774	597800	0.34	620	100	29370	None
bin.3	18.14	0.17	Neural Network (Specific Model)	11	0.954	3522	324.30739299610894	261669	0.3	257	75	8282	None
bin.30	28.08	0.02	Neural Network (Specific Model)	11	0.917	5399	279.23846153846154	355405	0.43	390	71	14438	None
bin.31	4.15	0.0	Neural Network (Specific Model)	11	0.93	3505	366.4183673469388	231359	0.41	196	63	10573	None
bin.32	19.28	0.53	Neural Network (Specific Model)	11	0.923	11617	365.73363228699554	1323215	0.45	1115	158	51982	None
bin.33	4.18	0.0	Neural Network (Specific Model)	11	0.9	3586	305.4770642201835	221685	0.38	218	63	6579	None
bin.34	10.7	0.02	Neural Network (Specific Model)	11	0.891	3452	266.3727272727273	393821	0.33	440	112	7186	None
bin.4	16.3	0.01	Neural Network (Specific Model)	11	0.925	6690	355.53433835845897	687758	0.49	597	117	18905	None
bin.5	5.81	0.01	Neural Network (Specific Model)	11	0.906	5409	281.125748502994	310066	0.35	334	65	18939	None
bin.6	5.84	0.03	Neural Network (Specific Model)	11	0.903	12463	305.692	253391	0.46	250	24	36504	None
bin.7	76.64	0.38	Neural Network (Specific Model)	11	0.906	10804	316.02886002886004	2171802	0.42	2079	240	46277	None
bin.8	10.12	0.04	Neural Network (Specific Model)	11	0.926	3431	276.9216300940439	285785	0.64	319	80	8343	None
bin.9	14.23	0.0	Neural Network (Specific Model)	11	0.918	4244	295.8655303030303	509991	0.57	528	124	22183	None
